Taxi Affiliation Services,3.25,50.0
Flash Cab,3.25,20.81
Taxi Affiliation Services,28.5,30.0
Flash Cab,42.02,30.0
Taxi Affiliation Services,3.25,23.8
Flash Cab,7.75,30.0
Taxi Affiliation Services,3.25,25.0
Blue Ribbon Taxi Association Inc.,22.25,34.0
Taxi Affiliation Services,3.25,23.65
Taxicab Insurance Agency Llc,60.0,20.7
"Taxicab Insurance Agency, LLC",144.0,28.9
Flash Cab,67.5,22.0
"Taxicab Insurance Agency, LLC",71.75,22.0
Medallion Leasin,67.5,21.4
Sun Taxi,117.75,37.15
Taxi Affiliation Services,106.75,55.0
Taxi Affiliation Services,95.25,26.15
Top Cab Affiliation,128.75,52.0
"Taxicab Insurance Agency, LLC",120.5,31.0
Taxi Affiliation Services,86.75,27.95
Medallion Leasin,91.0,22.2
Sun Taxi,72.25,22.55
"Taxicab Insurance Agency, LLC",606.5,211.9
Sun Taxi,43.5,21.75
Sun Taxi,63.75,21.75
Chicago Independents,61.75,20.75
Taxi Affiliation Services,5.5,37.3
Taxi Affiliation Services,43.0,21.55
Taxi Affiliation Services,8.5,21.5
Taxi Affiliation Services,47.75,25.0
Flash Cab,9.5,30.0
Globe Taxi,46.25,30.08
Flash Cab,13.75,25.0
Sun Taxi,96.5,40.12
Sun Taxi,79.25,25.15
Sun Taxi,66.25,22.25
City Service,4.75,20.95
Taxicab Insurance Agency Llc,64.0,20.3
Flash Cab,71.0,28.0
Sun Taxi,95.0,30.7
Star North Taxi Management Llc,93.25,27.65
Medallion Leasin,95.75,22.16
City Service,84.75,30.0
Flash Cab,66.0,21.5
312 Medallion Management Corp,90.25,28.75
Choice Taxi Association,94.5,29.6
City Service,53.5,21.5
Flash Cab,74.0,23.5
Globe Taxi,67.5,27.12
"Taxicab Insurance Agency, LLC",70.5,23.2
Medallion Leasin,85.5,28.0
City Service,64.75,20.75
Choice Taxi Association,58.5,23.6
Taxi Affiliation Services,61.25,21.15
Choice Taxi Association,51.25,22.15
U Taxicab,44.25,21.2
Sun Taxi,93.25,30.05
Sun Taxi,45.25,21.98
Globe Taxi,75.25,20.19
Taxi Affiliation Services,22.5,40.0
Taxi Affiliation Services,16.25,21.0
Sun Taxi,130.0,32.75
Sun Taxi,124.75,26.15
Sun Taxi,47.0,25.0
Taxi Affiliation Services,9.25,60.0
Taxi Affiliation Services,85.0,25.6
Sun Taxi,44.5,25.0
Globe Taxi,74.5,29.62
Flash Cab,81.0,25.7
Chicago Independents,105.75,26.25
City Service,58.5,32.0
Taxicab Insurance Agency Llc,111.25,24.71
City Service,70.75,28.81
Sun Taxi,35.0,30.0
Medallion Leasin,89.0,27.1
Sun Taxi,75.75,22.94
Sun Taxi,78.75,24.91
"Taxicab Insurance Agency, LLC",98.75,31.2
Flash Cab,103.25,21.71
Taxi Affiliation Services,60.75,25.0
Sun Taxi,83.5,26.0
Taxi Affiliation Services,64.0,20.3
Taxicab Insurance Agency Llc,53.75,22.19
Flash Cab,54.5,30.0
Star North Taxi Management Llc,34.25,25.0
Taxicab Insurance Agency Llc,96.5,22.8
City Service,98.25,21.75
Sun Taxi,77.75,20.56
Taxi Affiliation Services,19.5,50.0
Taxi Affiliation Services,20.25,60.0
Sun Taxi,100.0,20.2
Globe Taxi,54.0,25.0
Taxi Affiliation Services,47.25,40.0
Taxi Affiliation Services,5.0,100.0
Sun Taxi,70.0,21.15
Top Cab Affiliation,44.5,25.0
Sun Taxi,88.0,29.55
Top Cab Affiliation,3.25,50.0
Taxi Affiliation Services,44.5,35.0
Star North Taxi Management Llc,196.5,63.12
Flash Cab,29.0,25.0
"Taxicab Insurance Agency, LLC",3.5,20.1
Sun Taxi,70.75,22.65
Taxi Affiliation Services,65.75,21.15
City Service,100.5,45.38
"Taxicab Insurance Agency, LLC",44.75,20.25
City Service,77.0,24.6
Flash Cab,48.75,29.0
Star North Taxi Management Llc,95.5,37.0
Sun Taxi,74.25,25.05
Taxicab Insurance Agency Llc,75.75,25.05
Taxi Affiliation Services,64.5,20.6
"Taxicab Insurance Agency, LLC",83.5,53.0
Chicago Independents,70.0,21.7
Star North Taxi Management Llc,81.25,25.45
Taxi Affiliation Services,75.5,25.0
Sun Taxi,71.5,23.4
Chicago Independents,30.0,25.0
Taxi Affiliation Services,94.5,29.2
Taxicab Insurance Agency Llc,52.5,26.25
Taxicab Insurance Agency Llc,95.25,31.05
Taxi Affiliation Services,50.25,20.3
Taxi Affiliation Services,15.5,30.0
City Service,90.25,30.15
U Taxicab,3.25,100.0
Chicago Independents,94.75,29.95
Taxi Affiliation Services,71.0,21.4
Sun Taxi,64.5,30.3
Flash Cab,94.5,22.95
Taxi Affiliation Services,73.5,36.25
Top Cab Affiliation,73.75,30.0
Taxi Affiliation Services,81.75,31.65
Taxi Affiliation Services,33.0,50.25
Chicago Independents,73.25,20.95
City Service,69.25,22.69
Taxi Affiliation Services,65.5,25.0
City Service,63.25,22.25
Taxi Affiliation Services,39.25,22.0
