City Service,68.75,22.88
Flash Cab,73.75,20.94
Blue Ribbon Taxi Association,138.25,31.69
Flash Cab,45.75,40.0
Taxi Affiliation Services,3.25,96.0
Sun Taxi,71.0,22.3
Top Cab Affiliation,3.75,78.0
Flash Cab,109.87,29.09
Sun Taxi,62.5,20.2
Medallion Leasin,71.0,23.0
Choice Taxi Association,58.5,22.6
Sun Taxi,70.5,27.5
Flash Cab,58.0,20.12
Sun Taxi,57.5,25.5
Medallion Leasin,71.75,22.65
Sun Taxi,76.75,24.45
"Taxicab Insurance Agency, LLC",64.0,21.1
Chicago Taxicab,68.25,21.55
Flash Cab,66.25,21.55
"Taxicab Insurance Agency, LLC",93.25,29.35
Sun Taxi,113.0,22.8
Flash Cab,70.25,28.19
Flash Cab,53.0,21.12
Top Cab Affiliation,85.75,28.4
Sun Taxi,4.0,20.8
Flash Cab,54.25,21.44
Blue Ribbon Taxi Association Inc.,3.25,115.55
Sun Taxi,70.0,30.0
Taxi Affiliation Services,3.25,125.0
City Service,77.0,24.0
Sun Taxi,38.0,25.0
City Service,4.25,47.25
"Taxicab Insurance Agency, LLC",52.0,23.0
Sun Taxi,74.5,27.2
Top Cab Affiliation,69.5,60.0
Flash Cab,100.0,21.1
Top Cab Affiliation,63.25,37.0
Flash Cab,58.5,23.62
Flash Cab,69.0,22.6
Medallion Leasin,5.25,26.0
City Service,64.25,25.81
Flash Cab,63.75,25.06
Flash Cab,90.0,28.5
City Service,51.5,26.1
Taxi Affiliation Services,8.75,57.0
"Taxicab Insurance Agency, LLC",86.75,36.05
Flash Cab,87.75,30.19
Choice Taxi Association,96.75,31.8
Sun Taxi,69.75,22.19
City Service,64.75,20.15
Taxi Affiliation Services,71.5,22.25
Taxi Affiliation Services,65.5,24.3
Flash Cab,69.75,24.31
Taxi Affiliation Services,72.0,70.0
Taxi Affiliation Services,76.0,30.0
Sun Taxi,92.5,30.4
Taxi Affiliation Services,89.5,24.05
Flash Cab,88.25,24.55
Chicago Independents,81.0,30.5
Globe Taxi,65.25,20.45
Globe Taxi,63.0,20.25
City Service,218.5,45.4
Flash Cab,68.75,22.65
U Taxicab,73.75,22.95
Taxi Affiliation Services,67.75,22.05
"Taxicab Insurance Agency, LLC",73.75,23.35
Top Cab Affiliation,91.25,29.95
City Service,74.25,23.55
Taxi Affiliation Services,96.5,31.5
"Taxicab Insurance Agency, LLC",74.75,24.05
Choice Taxi Association,86.5,27.2
U Taxicab,72.5,23.2
Taxi Affiliation Services,176.75,50.0
Taxicab Insurance Agency Llc,53.5,22.25
Medallion Leasin,56.25,22.06
Chicago Independents,63.25,21.85
Choice Taxi Association,71.75,22.85
Flash Cab,142.0,30.1
Taxicab Insurance Agency Llc,55.75,22.56
Taxi Affiliation Services,69.25,22.55
Globe Taxi,93.5,29.7
City Service,69.25,21.45
Flash Cab,65.5,20.9
Choice Taxi Association,63.0,20.3
Sun Taxi,117.25,37.95
City Service,100.5,40.0
"Taxicab Insurance Agency, LLC",59.75,25.55
Taxi Affiliation Services,64.25,20.55
Taxi Affiliation Services,68.75,21.45
Flash Cab,60.5,21.5
Choice Taxi Association,61.25,20.25
City Service,67.25,21.85
Chicago Independents,63.75,20.65
Globe Taxi,84.0,26.3
Chicago Independents,80.25,25.55
Globe Taxi,60.5,24.25
Taxi Affiliation Services,39.75,20.15
Flash Cab,87.0,26.9
24 Seven Taxi,81.25,24.75
